2001,9,89,2
2002,6,93,1
2004,25,72,3
2007,25,70,5
2008,34,63,3
2008,28,68,4
2009,36,60,3
2009,37,61,2
2009,36,61,3
2009,30,66,4
2010,39,58,3
2010,43,52,4
2010,38,58,4
2011,39,58,3
2011,42,53,5
2013,44,51,5
2014,49,48,3
2015,42,54,4
2019,43,52,5
2021,47,50,3
2021,47,46,6
2022,50,46,3
